,message_count,group_type,has_media,has_url,has_emoji,message_length,hour,day,response_rate
0,82.0,3.0,0.0,0.0,1.0,17.0,4.0,3.0,0.45454545454545453
1,141.0,3.0,0.0,0.0,0.0,119.0,13.0,5.0,0.7272727272727273
2,178.0,3.0,0.0,0.0,0.0,132.0,17.0,2.0,0.5909090909090909
3,85.0,3.0,0.0,0.0,0.0,137.0,16.0,2.0,0.4090909090909091
4,4.0,3.0,0.0,0.0,0.0,164.0,20.0,3.0,0.09090909090909091
5,4.0,3.0,0.0,0.0,0.0,152.0,20.0,3.0,0.045454545454545456
6,97.0,3.0,0.0,0.0,0.0,194.0,14.0,6.0,0.5
7,42.0,3.0,0.0,0.0,0.0,138.0,23.0,2.0,0.3181818181818182
8,17.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.1111111111111111
9,8.0,1.0,0.0,0.0,0.0,658.0,15.0,3.0,0.07407407407407407
10,36.0,1.0,0.0,0.0,0.0,146.0,15.0,3.0,0.14814814814814814
11,6.0,1.0,0.0,0.0,0.0,658.0,18.0,3.0,0.037037037037037035
12,1.0,1.0,0.0,0.0,0.0,348.0,22.0,3.0,0.0
13,12.0,1.0,0.0,0.0,0.0,226.0,22.0,3.0,0.09259259259259259
14,7.0,1.0,0.0,0.0,0.0,167.0,11.0,5.0,0.07407407407407407
15,1.0,1.0,0.0,0.0,0.0,299.0,18.0,1.0,0.0
16,10.0,1.0,0.0,0.0,1.0,121.0,19.0,1.0,0.037037037037037035
17,14.0,1.0,0.0,0.0,0.0,154.0,22.0,1.0,0.12962962962962962
18,4.0,1.0,0.0,0.0,1.0,400.0,19.0,1.0,0.0
19,3.0,1.0,0.0,0.0,1.0,400.0,19.0,1.0,0.0
20,22.0,1.0,0.0,0.0,1.0,400.0,19.0,1.0,0.12962962962962962
21,7.0,1.0,0.0,0.0,0.0,150.0,14.0,4.0,0.09259259259259259
22,71.0,1.0,0.0,0.0,0.0,191.0,21.0,4.0,0.37037037037037035
23,16.0,1.0,0.0,0.0,0.0,126.0,10.0,2.0,0.09259259259259259
24,1.0,1.0,0.0,0.0,0.0,229.0,22.0,2.0,0.0
25,41.0,1.0,0.0,0.0,1.0,161.0,22.0,2.0,0.3333333333333333
26,8.0,1.0,0.0,0.0,1.0,133.0,13.0,0.0,0.09259259259259259
27,15.0,1.0,0.0,0.0,0.0,257.0,20.0,0.0,0.0
28,8.0,1.0,0.0,0.0,0.0,1155.0,20.0,0.0,0.037037037037037035
29,2.0,1.0,0.0,0.0,0.0,249.0,23.0,0.0,0.018518518518518517
30,5.0,1.0,0.0,0.0,0.0,252.0,13.0,3.0,0.018518518518518517
31,16.0,1.0,0.0,0.0,1.0,286.0,14.0,3.0,0.12962962962962962
32,15.0,1.0,0.0,0.0,0.0,171.0,17.0,5.0,0.1111111111111111
33,5.0,1.0,0.0,0.0,0.0,291.0,11.0,1.0,0.018518518518518517
34,66.0,1.0,0.0,1.0,0.0,164.0,19.0,1.0,0.2222222222222222
35,2.0,1.0,0.0,0.0,0.0,191.0,5.0,3.0,0.018518518518518517
36,3.0,1.0,0.0,0.0,0.0,207.0,7.0,3.0,0.0
37,16.0,1.0,0.0,0.0,1.0,129.0,8.0,3.0,0.16666666666666666
38,13.0,1.0,0.0,0.0,1.0,156.0,12.0,3.0,0.14814814814814814
39,25.0,1.0,0.0,0.0,0.0,207.0,14.0,3.0,0.2777777777777778
